id_projeto;base;base_cost;base_duration;base_end_at;base_start_at;color;delay;delta;expected;expected_duration;expected_end_at;expected_start_at;idp;name;name_x;name_y;position;realized;service_id;total_cost
15257;;;;;;#521E7B;;;;;;;;KIT ELÉTRICO;;;19;;1811120;
15257;1.0;463565.4656025695;239.0;2024-10-25;2024-02-29;#9D673F;167.0;-190.0;1.0;429.0;2025-04-10;2024-02-06;1.0;FORRO;FORRO;FORRO;20;1.0;1811121;458543.3246576578
15257;1.0;1959231.0328977006;245.0;2024-06-21;2023-10-20;#000000;262.0;-188.0;1.0;433.0;2025-03-10;2024-01-02;0.98;ESQ/POR - ESQUADRIAS E PORTAS;ESQ/POR - ESQUADRIAS E PORTAS;ESQ/POR - ESQUADRIAS E PORTAS;21;0.98071109;1811122;111099.299990075
15257;1.0;470569.5668217356;233.0;2024-10-30;2024-03-11;#4C2768;167.0;-198.0;1.0;431.0;2025-04-15;2024-02-09;0.97;PORTA INTERNA;PORTA INTERNA;PORTA INTERNA;22;0.97161716;1811123;1361995.852680998
15257;1.0;229587.8262192633;229.0;2024-11-04;2024-03-20;#FF6C0F;172.0;-205.0;1.0;434.0;2025-04-25;2024-02-16;0.97;PINTURA 1ª DEMÃO INTERNO;PINTURA 1ª DEMÃO INTERNO;PINTURA 1ª DEMÃO INTERNO;23;0.97068098;1811125;334676.1314877286
15257;1.0;480876.1107608465;215.0;2024-11-12;2024-04-11;#03A12A;156.0;-201.0;1.0;416.0;2025-04-17;2024-02-26;1.0;LOUÇAS/BANCADAS/TANQUE;LOUÇAS/BANCADAS/TANQUE;LOUÇAS/BANCADAS/TANQUE;24;1.0;1811126;475666.4306672792
15257;1.0;487399.3841093805;210.0;2024-11-18;2024-04-22;#E70302;143.0;-196.0;1.0;406.0;2025-04-10;2024-02-29;0.85;ELÉTRICA INTERNO;ELÉTRICA INTERNO;ELÉTRICA INTERNO;25;0.84742195;1811129;574332.4289425666
15257;1.0;120262.0225726706;126.0;2024-12-20;2024-08-16;#28353D;126.0;-169.0;1.0;295.0;2025-04-25;2024-07-04;0.48;TORNEIRAS/CHUVEIROS;TORNEIRAS/CHUVEIROS;TORNEIRAS/CHUVEIROS;26;0.48206565;1811130;118959.1368668437
15257;1.0;361741.0525619217;200.0;2024-11-29;2024-05-13;#206D9F;138.0;-194.0;1.0;394.0;2025-04-16;2024-03-18;1.0;SERVIÇOS GERAIS;SERVIÇOS GERAIS;SERVIÇOS GERAIS;27;1.0;1811132;417822.0491914441
15257;0.0;0.0;196.0;2024-12-04;2024-05-22;#B18706;124.0;-154.0;0.0;350.0;2025-04-07;2024-04-22;0.0;TESTE FUNCIONAL DA UNIDADE;TESTE FUNCIONAL DA UNIDADE;TESTE FUNCIONAL DA UNIDADE;28;0.0;1811133;0.0
15257;0.0;0.0;181.0;2024-12-19;2024-06-21;#038723;124.0;-194.0;0.0;375.0;2025-04-22;2024-04-12;0.0;LIMPEZA FINAL;LIMPEZA FINAL;LIMPEZA FINAL;29;0.0;1811134;0.0
15257;0.0;0.0;126.0;2024-12-23;2024-08-19;#E4045F;126.0;-243.0;0.0;369.0;2025-04-28;2024-04-24;0.0;VISTORIA;VISTORIA;VISTORIA;30;0.0;1811135;0.0
15257;1.0;3635940.168727517;354.0;2024-10-04;2023-10-16;#03A12A;61.0;38.0;0.0;316.0;2024-12-04;2024-01-23;0.0;REG - REGULARIZAÇÃO PISO E PAREDE;REG - REGULARIZAÇÃO PISO E PAREDE;REG - REGULARIZAÇÃO PISO E PAREDE;31;0.0;1820771;0.0
15257;;;;;;#E4045F;;;;;;;;CD - CAIXA D'ÁGUA;;;32;;1820772;
15257;1.0;975189.0300796703;257.0;2024-10-14;2024-01-31;#BE0503;178.0;-185.0;1.0;442.0;2025-04-10;2024-01-24;1.0;ESQ - ESQUADRIA EXTERNA;ESQ - ESQUADRIA EXTERNA;ESQ - ESQUADRIA EXTERNA;33;1.0;1820773;2042993.7790214967
15257;1.0;628204.35439088;271.0;2024-07-23;2023-10-26;#02375A;134.0;-136.0;1.0;407.0;2024-12-04;2023-10-24;1.0;FORRO (CASA EXISTENTE);FORRO (CASA EXISTENTE);FORRO (CASA EXISTENTE);34;1.0;1823150;633226.4950300962
