id_projeto;id_pavimento;nome_pavimento;id_atividade;servico_atividade;unidade_nome;unidade_tipo;unidade_quantidade_max;id_servico;nome_servico;unidade_servico_nome;unidade_servico_tipo;unidade_servico_quantidade_max
15257;616281;QD 08 Casa Existente - Mód II;15489967;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;15489991;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;15490017;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;15490036;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;15490058;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;15490079;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;15490098;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;16311111;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;16327812;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;17316681;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;17316805;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;17316942;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
15257;616281;QD 08 Casa Existente - Mód II;17317157;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15475062;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15475120;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15489901;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15489947;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15489969;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15489993;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15490019;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15490038;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15490060;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15490081;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;15490100;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;16311113;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;16327814;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;17316680;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;17316804;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;17316941;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
15257;616283;QD 10 Casa Existente - Mód II;17317156;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15475064;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15475122;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15489903;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15489949;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15489971;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15489995;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15490021;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15490040;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15490062;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15490083;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;15490102;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;16311115;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;16327816;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;17316679;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;17316803;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;17316940;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
15257;616285;QD 12 Casa Existente - Mód II;17317155;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15461332;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15465290;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
